product_id,product_name,barcode,image_url,source,confidence,search_query,status
24,مثلث مزارع دينا 8ق,6224000432201,https://images.openfoodfacts.org/images/products/622/400/043/2201/front_en.4.400.jpg,OpenFoodFacts,97,,found
22,مثلث لافاش8ق,3073781205114,https://images.openfoodfacts.org/images/products/307/378/120/5114/front_es.4.400.jpg,OpenFoodFacts,97,,found
27,تونه صن شاين قطع,6223000717431,https://images.openfoodfacts.org/images/products/622/300/071/7431/front_ar.12.400.jpg,OpenFoodFacts,97,,found
17,مثلث ميلكانا  سبورتي 32ق,6223001080916,https://www.riccostores.com/image/cache/catalog/bt_product/Cheese/Milkana+S.+Size-300x300.jpg,DuckDuckGo,72,6223001080916 مثلث ميلكانا سبورتي product,found_by_search
23,مثلث لافاش 16ق,,,,0,مثلث لافاش منتج مصري,not_found
20,مثلث ميلكانا سبورتي 8ق,6223001080954,,,0,6223001080954 مثلث ميلكانا سبورتي product,not_found
19,مثلث كيري 8ق,3073781129229,,,0,3073781129229 مثلث كيري product,not_found
18,مثلث مراعي 8ق,6281007035378,,,0,6281007035378 مثلث مراعي product,not_found
21,مثلث ميلكانا 8ق,6223001080008,,,0,6223001080008 مثلث ميلكانا product,not_found
25,مثلث مزارع دينا 16ق,6224011439442,,,0,6224011439442 مثلث مزارع دينا product,not_found
28,تونه صن شاين فصوص,6223000711323,,,0,6223000711323 تونه صن شاين فصوص product,not_found
29,تونه صن شاين قطعه واحده,6223000717455,,,0,6223000717455 تونه صن شاين قطعه واحده product,not_found
35,البحار سردين مغربي حار,6624000720061,https://cdnprod.mafretailproxy.com/sys-master-root/h46/h21/14786767618078/119372_main.jpg_480Wx480H,DuckDuckGo,72,6624000720061 البحار سردين مغربي حار product,found_by_search
30,تونه صن شاين مفتت حار,6223000710067,,,0,6223000710067 تونه صن شاين مفتت حار product,not_found
32,تونه صن شاين مفتت,6223000710050,,,0,6223000710050 تونه صن شاين مفتت product,not_found
31,تونه صن شاين قطع دايت,6223000717394,,,0,6223000717394 تونه صن شاين قطع دايت product,not_found
34,صن شاين ماكريل 350g,6223000710654,,,0,6223000710654 صن شاين ماكريل product,not_found
33,صن شاين ماكريل 145g,6223000710647,,,0,6223000710647 صن شاين ماكريل product,not_found
