product_id,product_name,image_url,score,domain,status
33,صن شاين ماكريل 145g,https://market.hypermousa.com/34633-large_default/صن-شاين-ماكريل-145-جرام-صن-شاين.jpg,95,market.hypermousa.com,found
42,انشوجه realmar,https://images.yaoota.com/zY9ARZBAlwsC7tdXnSK5fNfKd_4=/trim/yaootaweb-production/media/crawledproductimages/0446c22db46786a3a4dcf02a5dfa15bfb5b93bea.jpg,75,images.yaoota.com,found
44,حلواني مربي برتقال لايت 340g,https://cdn.mafrservices.com/sys-master-root/hcd/h78/14529848836126/34430_main.jpg,95,cdn.mafrservices.com,found
47,حلواني مربي فراوله 340g,,0,,not_found
60,البوادي مربي  تين 365g,,0,,not_found
94,كاتشب هاينز ديوباك 125g,https://cdn.mafrservices.com/pim-content/EGY/media/product/639824/1728369604/639824_2.jpg?im=Resize=480,95,cdn.mafrservices.com,found
99,صوص شيدر ميلكانا,https://cdn.mafrservices.com/pim-content/EGY/media/product/648149/1738229403/648149_main.jpg,95,cdn.mafrservices.com,found
105,عسل امتنان 250g زهور,https://cdn.mafrservices.com/sys-master-root/h1d/hc8/14835328974878/460445_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
107,عسل امتنان 125gزهور,,0,,not_found
118,صلصه روسو 800g,,0,,not_found
153,زيت كريستال ذرة 700مل,https://cdn.mafrservices.com/pim-content/EGY/media/product/639240/1727264404/639240_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
154,زيت كريستال دوار 700مل,https://cdn.mafrservices.com/pim-content/EGY/media/product/639241/1747661403/639241_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
156,ماء ورد لاروز,https://cdn.mafrservices.com/sys-master-root/hbc/h20/14595760783390/445474_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
187,مكرونه الملكه 1ك مرمريه,,0,,not_found
194,مكرونه الملكه 400g شعريه,https://market.hypermousa.com/2830-large_default/الملكه-مكرونه-شعرية-400-جرام-مكرونه-معبأه.jpg,95,market.hypermousa.com,found
202,مكرونه حواء 400g فرن,,0,,not_found
209,ورق عنب شومان,,0,,not_found
210,شاي ليبتون خرز 250g,https://market.hypermousa.com/4203-large_default/ليبتون-شاى-خرز-250-جرام-شاى-معبأه.jpg,95,market.hypermousa.com,found
223,شاي الغزالين 250g اخضر,,0,,not_found
226,شاي بسمه 250g خشن,https://media.zid.store/d5d1d318-9d7b-4b20-91c4-fac479099112/ea43d0be-c7fd-476b-aff7-6bc7fa3b67c0.png,75,media.zid.store,found
234,شاي احمد تي 250g,https://www.elmezantrade.com/wp-content/uploads/2023/11/965.jpg,95,elmezantrade.com,found
237,شاي ليبتون 100فتله,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6221155079329__100.jpg,95,mcprod.hyperone.com.eg,found
242,اعشاب ايزيس كركديه,https://cdn.mafrservices.com/pim-content/EGY/media/product/66120/1727017204/66120_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
244,ايزيس بقدونس وكرفس 12فتله,,0,,not_found
247,اعشاب ايزيس تيليو,,0,,not_found
248,نعناع ايزيس فندقي,,0,,not_found
250,ينسون ايزيس فندقي,,0,,not_found
255,دريم كريم شانتيه-شيكولاته,,0,,not_found
281,بن عوف ساده فاتح 200g,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223004765360-250g-_1.jpg,95,mcprod.hyperone.com.eg,found
287,بن عوف محوج فاتح100g,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223006312586_100g_-1.jpg,95,mcprod.hyperone.com.eg,found
290,بن عوف ساده فاتح 50g,https://www.qebox.app/qebox/wp-content/uploads/2024/10/WhatsApp-Image-2024-09-30-at-12.46.05-PM-large.jpeg,75,qebox.app,found
309,بنجورنو كابتشيبنو بندق,https://m.media-amazon.com/images/I/61Fo-1RYrgS._AC_SL1447_.jpg,90,m.media-amazon.com,found
311,بنجورنو كابتشيبنو ايس سبانش لاتيه,,0,,not_found
314,نسكافيه جولد 3×1  ريتش,"https://m.media-amazon.com/images/S/aplus-media/sota/3baa5bc7-171e-49ea-b36b-ced76357e825.__CR0,0,970,600_PT0_SX970_V1___.jpg",90,m.media-amazon.com,found
337,كاكاو كرونا,https://cdnprod.mafretailproxy.com/sys-master-root/hee/h42/49406493327390/480Wx480H_16665_main.jpg,95,cdnprod.mafretailproxy.com,found
370,ويلز خلطه البانيه,https://m.media-amazon.com/images/I/71JrkMJvxeL._AC_SL1500_.jpg,90,m.media-amazon.com,found
372,ويلز تتبيله الشاورما السوري,https://market.hypermousa.com/22521-large_default/ويلز-خلطه-الشاورما-السورى-50-جرام-علبه-6-ظرف-بهارات-و-مرقات-معبأه.jpg,95,market.hypermousa.com,found
376,ويلز خلطه كفته الارز,https://m.media-amazon.com/images/I/71lwAwHdSmL._AC_SL1500_.jpg,90,m.media-amazon.com,found
379,كنور فيجتار حار,https://cdnprod.mafretailproxy.com/sys-master-root/h05/h94/49510853345310/480Wx480H_17068_main.jpg,95,cdnprod.mafretailproxy.com,found
387,كنور خلطه الشيش الطاووق,https://cdn.mafrservices.com/sys-master-root/h9e/h11/49510749339678/438730_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
401,عبور لاند 500g,"https://m.media-amazon.com/images/M/MV5BMTc4MDU2ODQ0M15BMl5BanBnXkFtZTgwMjI2MjAxMzE@._V1_UY1200_CR125,0,630,1200_AL_.jpg",90,m.media-amazon.com,found
417,جبنه دومتي  250g بلس,https://market.hypermousa.com/31258-large_default/دومتى-جبنه-فيتا-بلس-فلامنك-250-جرام-دومتى.jpg,95,market.hypermousa.com,found
423,عبورلاند قشطه 125g,https://m.media-amazon.com/images/I/61yz4vsd2LL._AC_SL1280_.jpg,90,m.media-amazon.com,found
432,حليب جهينه 1 لتر,https://m.media-amazon.com/images/I/61WsgGJWsgL._AC_SX342_.jpg,90,m.media-amazon.com,found
438,حليب المراعي 1.5لتر,https://m.media-amazon.com/images/I/61WsgGJWsgL._AC_SX342_.jpg,90,m.media-amazon.com,found
452,عصيرجهينه 1لتر مكس بيري,,0,,not_found
487,معطر جو فريده -عود,,0,,not_found
488,معطر جو فريده -خوخ,"https://m.media-amazon.com/images/S/aplus-media/sota/a1581570-91b1-46b4-991a-2e4e3968e547.__CR0,0,970,600_PT0_SX970_V1___.jpg",90,m.media-amazon.com,found
496,جلانس زجاج صنوبر فردي,https://harvest-store.com/wp-content/uploads/2022/01/جلانس-650-ملى-عرض-زجاجه-بخاخ-واخرى-غطاء.jpg,50,harvest-store.com,found
503,بديل زيت صن سيلك,https://cdn.mafrservices.com/sys-master-root/hc0/hb0/49510754451486/532417_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
518,شامبو صن سيلك 600مل-ناعم,https://cdnprod.mafretailproxy.com/sys-master-root/h18/h40/49510850887710/480Wx480H_480091_main.jpg,95,cdnprod.mafretailproxy.com,found
531,سيترس 1لتر -مسك,,0,,not_found
536,شاور فريده 650مل- لافندر,https://images-na.ssl-images-amazon.com/images/I/31FWi+SaaaL._SL500_._AC_SL500_.jpg,90,images-na.ssl-images-amazon.com,found
538,شاور دوف500مل-تغذيه,https://media.zid.store/thumbs/d975c276-a1bd-4eee-a1f2-548c4fa5fc12/f5f05bf7-370d-44cb-b205-eecc05449e5f-thumbnail-500x500-70.jpg,75,media.zid.store,found
544,اكس مزيل عرق اوريجنال,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6221155134899_-_150ml_15_from_the_taken_photo_1.jpg,95,mcprod.hyperone.com.eg,found
551,اكس مزيل عرق اوريجنال,,0,,not_found
555,كوب صابون درو -سحر الاوركيدا,https://m.media-amazon.com/images/I/61CI0jqLBxL._AC_SX569_.jpg,90,m.media-amazon.com,found
560,صابونه سافانا,https://m.media-amazon.com/images/I/51zyMZoOhzL._AC_SL1100_.jpg,90,m.media-amazon.com,found
562,صابونه كامي115جم-عسلي,,0,,not_found
570,صابونه دوف 90جم- بينك,https://images-na.ssl-images-amazon.com/images/I/31l+B-usPZL._SL500_._AC_SL500_.jpg,90,images-na.ssl-images-amazon.com,found
577,صابونه درو جلسرين-خيار,https://m.media-amazon.com/images/I/51A4rAimRIL.jpg,90,m.media-amazon.com,found
596,فيبا 700مل ليمون,https://cdn.mafrservices.com/pim-content/EGY/media/product/124866/1742974803/124866_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
602,كلوركس الوان 1 لتر ازرق,https://m.media-amazon.com/images/I/71sTHo+g6PL._AC_SL1500_.jpg,90,m.media-amazon.com,found
606,فيري سائل مركز 620جم,,0,,not_found
611,اوكسي نسيم الربيع 5ج,https://images-na.ssl-images-amazon.com/images/I/41fC4FBrLcL._SL500_._AC_SL500_.jpg,90,images-na.ssl-images-amazon.com,found
627,ريد مبيد,,0,,not_found
642,باكت بوني 5,,0,,not_found
646,باكت مولفيكس 5,https://wuilt-assets-v2-dev.s3.amazonaws.com/cletx6ido06p001nh0r5e5oi7_PhotoRoom-_D9_A2_D9_A0_D9_A2_D9_A3_D9_A0_D9_A3_D9_A0_D9_A4__D9_A1_D9_A4_D9_A0_D9_A5_D9_A4_D9_A1.jpg,50,wuilt-assets-v2-dev.s3.amazonaws.com,found
653,ورق المونتال 5م,,0,,not_found
654,مفرش سفره كبير,,0,,not_found
656,استرتش 20م,https://harvest-store.com/wp-content/uploads/2024/07/72.jpg,50,harvest-store.com,found
674,جود فرانس 400g -كاتشب حار,,0,,not_found
677,جود فرانس 400g -شيدر,https://images-na.ssl-images-amazon.com/images/I/31B+HMqgAGL._SL500_._AC_SL500_.jpg,90,images-na.ssl-images-amazon.com,found
696,الرحيق المختوم275مل-صويا فاتح,https://market.hypermousa.com/39248-large_default/الرحيق-المختوم-صويا-صوص-فاتح-280-مللى.jpg,95,market.hypermousa.com,found
705,صوص ماجيك 170g-ليمون بالنعناع,,0,,not_found
718,عسل امتنان 1كجم عرض,https://cdn.mafrservices.com/sys-master-root/h72/ha2/14952017133598/552658_main.jpg?im=Resize=480,95,cdn.mafrservices.com,found
720,بيفي رودي,,0,,not_found
735,فريك الضحي,,0,,not_found
738,ارز بسمتي الضحي 1كجم,,0,,not_found
750,ابوعوف صفيح 200g- ساده غامق,https://m.media-amazon.com/images/I/91LevgpwLuL._AC_SL1500_.jpg,90,m.media-amazon.com,found
753,ابوعوف صفيح 200g-وسط محوج,,0,,not_found
757,قهوة ابوعوف صفيح 200g- اسبريسو,,0,,not_found
766,برنجلز 40g - ملح,https://www.elmezantrade.com/wp-content/uploads/2023/11/248-600x952.jpg,95,elmezantrade.com,found
770,برنجلز 40g - جبنه,https://cdnprod.mafretailproxy.com/sys-master-root/hac/h4f/47699699695646/480Wx480H_334073_main.jpg,95,cdnprod.mafretailproxy.com,found
771,برنجلز 40g -شطه,https://media.zid.store/thumbs/4c014624-206d-43df-a6d3-064b19937af4/044a0cb2-01b6-4672-bf5a-2cb9e7aa3f48-thumbnail-1000x1000-70.jpg,75,media.zid.store,found
778,دريم كيك- فراوله,,0,,not_found
789,رولي كرسبي,https://wuilt-assets-v2-dev.s3.amazonaws.com/clfqq26vh11u301nhgv0xah1o_63ac52d19987c7.66979970.png,50,wuilt-assets-v2-dev.s3.amazonaws.com,found
794,بيضه شويكس بناتي,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223007371216e_1.jpg,95,mcprod.hyperone.com.eg,found
801,الطحان بيبي داتس,,0,,not_found
806,صوص ماجيك ظرف -كراميل,,0,,not_found
812,علبه معمول الطحان-زعفران,,0,,not_found
817,معمول الطحان زعفران,,0,,not_found
816,معمول الطحان شيكولاته,https://images-na.ssl-images-amazon.com/images/I/41vXXp0GoZL._SL500_._AC_SL500_.jpg,90,images-na.ssl-images-amazon.com,found
864,شيكولاته كادبوري 35g -اوريو,https://market.hypermousa.com/36715-large_default/كورونا-شيكولاته-دارك-50-جرام-شيكولاته-وكاندى-ومصاصات.jpg,95,market.hypermousa.com,found
877,كادبوري ديلايت سنجل,https://cdnprod.mafretailproxy.com/sys-master-root/he0/h63/49727366823966/480Wx480H_523592_main.jpg,95,cdnprod.mafretailproxy.com,found
893,سمنه روابي 700جم,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6223000260197-700g-.jpg,95,mcprod.hyperone.com.eg,found
897,سمنه روابي 350جم-قشطه,,0,,not_found
936,مشروب مزارع دينا 250مل-كوفي تشك,https://mcprod.hyperone.com.eg/media/catalog/product/cache/8d4e6327d79fd11192282459179cc69e/6/2/6224000432195_nnn_250ml.jpg,95,mcprod.hyperone.com.eg,found
954,ارز بلبن الفردوس فرن,,0,,not_found
